,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
756,HD 219828 c,Radial Velocity,4682.0,5.79,12.3,4640.318,,5807.0,1.61,349.6947029,18.6457524,FALSE,Jovians
757,HD 220074 b,Radial Velocity,672.09998,1.6,12.2,5288.6912,,3787.0,54.92,350.0599827,61.9701062,FALSE,Jovians
758,HD 220197 b,Radial Velocity,1728.0,2.729,9.32,63.566,,5683.0,0.98,350.4946927,16.6323305,FALSE,Jovians
759,HD 220689 b,Radial Velocity,2266.4,3.396,13.7,355.33394,,5921.0,1.07,351.4707282,-20.6167923,FALSE,Jovians
760,HD 220773 b,Radial Velocity,3724.7,4.94,13.6,460.8,,5940.0,1.68,351.6144715,8.6428871,FALSE,Jovians
761,HD 220842 b,Radial Velocity,218.47,0.74,13.1,1010.6994,,5960.0,1.42,351.6534162,56.8871415,FALSE,Jovians
762,HD 221287 b,Radial Velocity,456.1,1.25,13.1,982.05,,6304.0,1.14,352.836223,-58.209754,TRUE,Jovians
763,HD 221416 b,Transit,14.2767,0.1228,9.17,60.5,174.31,5080.0,2.94,353.0331863,-21.8012007,FALSE,Jovians
764,HD 221420 b,Radial Velocity,22482.0,18.5,12.5,3082.951,,5830.0,2.0,353.3319001,-77.3853286,FALSE,Jovians
765,HD 221585 b,Radial Velocity,1173.0,2.306,13.5,511.7063,,5620.0,1.85,353.2293802,63.1556146,TRUE,Jovians
766,HD 222076 b,Radial Velocity,871.0,1.83,13.5,495.8148,,4806.0,4.1,354.531982,-70.9032461,FALSE,Jovians
767,HD 222155 b,Radial Velocity,3999.0,5.14,13.4,673.7996,,5701.0,1.85,354.5025617,48.9960191,FALSE,Jovians
768,HD 222582 b,Radial Velocity,572.38,1.34,12.6,2660.2371,,5790.0,1.13,355.4640788,-5.9862379,TRUE,Jovians
769,HD 224538 b,Radial Velocity,1189.1,2.28,12.8,1897.4451,,6097.0,1.54,359.7164302,-61.5868613,TRUE,Jovians
770,HD 224693 b,Radial Velocity,26.6904,0.191,14.0,222.481,,5894.0,1.93,359.9749837,-22.4279999,FALSE,Jovians
771,HD 22781 b,Radial Velocity,528.07,1.167,12.3,4338.2,,5027.0,0.74,55.2065581,31.8258855,FALSE,Jovians
772,HD 23079 b,Radial Velocity,730.59998,1.6,13.2,829.5363,,5974.0,1.07,54.9281897,-52.9162344,TRUE,Jovians
773,HD 23127 b,Radial Velocity,1211.17,2.37,13.5,485.32641,,5843.0,1.49,54.8491271,-60.077229,TRUE,Jovians
774,HD 231701 b,Radial Velocity,141.63,0.567,13.7,359.1479,,6101.0,1.53,293.017622,16.4743566,FALSE,Jovians
775,HD 233604 b,Radial Velocity,192.0,0.747,12.7,2089.644,,4791.0,10.9,137.4535054,53.5682016,FALSE,Jovians
776,HD 233832 b,Radial Velocity,2058.0,2.827,13.5,565.7374,,4981.0,0.68,171.5196515,50.3763099,FALSE,Jovians
777,HD 23472 b,Transit,17.667,0.121,1.872,17.92,10.43,4813.0,0.73,55.4590314,-62.7672667,FALSE,sub-Neptunes
778,HD 23472 c,Transit,29.625,0.17,2.149,17.18,23.48,4813.0,0.73,55.4590314,-62.7672667,FALSE,sub-Neptunes
779,HD 23596 b,Radial Velocity,1561.0,2.77,12.5,2870.0049,,6040.0,1.53,57.0018601,40.5307308,TRUE,Jovians
780,HD 238090 b,Radial Velocity,13.671,0.0932,2.52,6.89,8.1,3933.0,0.57,183.0886375,54.486153,FALSE,sub-Neptunes
781,HD 238914 b,Radial Velocity,4100.0,5.7,12.8,1906.98,,4769.0,12.73,279.5842102,59.2538819,FALSE,Jovians
782,HD 240210 b,Radial Velocity,501.75,1.16,12.8,1655.82,,4297.0,25.46,347.6219227,57.0294818,FALSE,Jovians
783,HD 240237 b,Radial Velocity,745.70001,1.92,12.2,5050.3187,,3926.0,71.23,348.9259334,58.0432233,FALSE,Jovians
784,HD 24040 b,Radial Velocity,3668.0,4.92,13.0,1226.8238,,5802.0,1.3,57.5962104,17.4752873,FALSE,Jovians
785,HD 24040 c,Radial Velocity,515.4,1.3,9.35,63.88351,,5776.49,1.39,57.5962104,17.4752873,TRUE,Jovians
